c2;c3;NameAuto;c4;c4o;c5;c5m;c6;c6a;c7;c8;c8_o;ListVehicles;PARENT_KEY;KEY;Fexp
1;A;Automóvil;1;;2;76001;2;1;1992;1;;Vehículo No. 1: Automóvil (1992);uuid:6f35387f-82d5-41ce-ba8d-b5dd3699d0ff;uuid:6f35387f-82d5-41ce-ba8d-b5dd3699d0ff/accepted/C/C.1/vehicles[1];36,25
1;A;Automóvil;1;;1;11001;2;1;2003;1;;Vehículo No. 1: Automóvil (2003);uuid:22d0be52-17e1-4375-b51d-eefe41d1aed5;uuid:22d0be52-17e1-4375-b51d-eefe41d1aed5/accepted/C/C.1/vehicles[1];152,41
1;E;Motocicleta;1;;;;2;8;2015;1;;Vehículo No. 1: Motocicleta (2015);uuid:bcb09d07-03f3-4f09-833f-f7ab4a079cc2;uuid:bcb09d07-03f3-4f09-833f-f7ab4a079cc2/accepted/C/C.1/vehicles[1];150,54
1;A;Automóvil;1;;2;76001;2;1;2004;1;;Vehículo No. 1: Automóvil (2004);uuid:ca4455f7-9dcb-4b56-a9af-76aa17f28b8f;uuid:ca4455f7-9dcb-4b56-a9af-76aa17f28b8f/accepted/C/C.1/vehicles[1];30,35
1;E;Motocicleta;1;;;;2;8;9999;1;;Vehículo No. 1: Motocicleta (9999);uuid:584ddf3b-a498-47d4-834d-d712bd2689a4;uuid:584ddf3b-a498-47d4-834d-d712bd2689a4/accepted/C/C.1/vehicles[1];243,26
1;E;Motocicleta;1;;;;2;8;9999;1;;Vehículo No. 1: Motocicleta (9999);uuid:e6d170c9-13ba-44ea-bb0a-9d8731a96cdc;uuid:e6d170c9-13ba-44ea-bb0a-9d8731a96cdc/accepted/C/C.1/vehicles[1];298,52
1;A;Automóvil;1;;1;11001;2;5;1997;1;;Vehículo No. 1: Automóvil (1997);uuid:b30df11d-7402-4328-b759-76e7440f6b42;uuid:b30df11d-7402-4328-b759-76e7440f6b42/accepted/C/C.1/vehicles[1];240,45
1;A;Automóvil;1;;1;11001;2;1;2018;5;;Vehículo No. 1: Automóvil (2018);uuid:057c7697-fb1d-437a-88e8-488f1974e484;uuid:057c7697-fb1d-437a-88e8-488f1974e484/accepted/C/C.1/vehicles[1];313,34
1;E;Motocicleta;1;;;;2;8;2021;1;;Vehículo No. 1: Motocicleta (2021);uuid:8e3d6a7a-f603-44f2-a7a0-d7f7dca15281;uuid:8e3d6a7a-f603-44f2-a7a0-d7f7dca15281/accepted/C/C.1/vehicles[1];382,75
1;A;Automóvil;1;;1;11001;1;1;2005;1;;Vehículo No. 1: Automóvil (2005);uuid:2c1b753b-ea23-499a-806d-714ee7b701f9;uuid:2c1b753b-ea23-499a-806d-714ee7b701f9/accepted/C/C.1/vehicles[1];510,91
2;E;Motocicleta;1;;;;2;8;2021;1;;Vehículo No. 2: Motocicleta (2021);uuid:2c1b753b-ea23-499a-806d-714ee7b701f9;uuid:2c1b753b-ea23-499a-806d-714ee7b701f9/accepted/C/C.1/vehicles[2];510,91
1;A;Automóvil;1;;1;11001;2;1;2017;1;;Vehículo No. 1: Automóvil (2017);uuid:f1f22410-82f1-4011-9909-066340606ce2;uuid:f1f22410-82f1-4011-9909-066340606ce2/accepted/C/C.1/vehicles[1];121,47
2;E;Motocicleta;1;;;;2;8;2015;1;;Vehículo No. 2: Motocicleta (2015);uuid:f1f22410-82f1-4011-9909-066340606ce2;uuid:f1f22410-82f1-4011-9909-066340606ce2/accepted/C/C.1/vehicles[2];121,47
1;A;Automóvil;1;;1;11001;2;1;2023;1;;Vehículo No. 1: Automóvil (2023);uuid:44ba1503-6a3a-46fe-bdc4-08f4565670d0;uuid:44ba1503-6a3a-46fe-bdc4-08f4565670d0/accepted/C/C.1/vehicles[1];267,30
2;A;Automóvil;1;;1;11001;2;1;2016;1;;Vehículo No. 2: Automóvil (2016);uuid:44ba1503-6a3a-46fe-bdc4-08f4565670d0;uuid:44ba1503-6a3a-46fe-bdc4-08f4565670d0/accepted/C/C.1/vehicles[2];267,30
1;B;Campero/Camioneta;1;;1;11001;2;1;2013;1;;Vehículo No. 1: Campero/Camioneta (2013);uuid:4adbe515-ec5a-41e7-988e-5602b6c96331;uuid:4adbe515-ec5a-41e7-988e-5602b6c96331/accepted/C/C.1/vehicles[1];92,36
1;E;Motocicleta;1;;;;2;8;2011;1;;Vehículo No. 1: Motocicleta (2011);uuid:e41a08e8-36f8-448f-8c6b-419babe41328;uuid:e41a08e8-36f8-448f-8c6b-419babe41328/accepted/C/C.1/vehicles[1];119,34
1;A;Automóvil;1;;1;11001;2;1;2018;2;;Vehículo No. 1: Automóvil (2018);uuid:fa8283a9-b0f2-43d4-890a-9d3ff0500af6;uuid:fa8283a9-b0f2-43d4-890a-9d3ff0500af6/accepted/C/C.1/vehicles[1];86,69
1;A;Automóvil;1;;1;11001;2;1;2017;1;;Vehículo No. 1: Automóvil (2017);uuid:ea0aa8d0-073e-4f93-988d-68490e5d4ca9;uuid:ea0aa8d0-073e-4f93-988d-68490e5d4ca9/accepted/C/C.1/vehicles[1];104,87
2;A;Automóvil;2;;1;11001;2;1;2010;1;;Vehículo No. 2: Automóvil (2010);uuid:ea0aa8d0-073e-4f93-988d-68490e5d4ca9;uuid:ea0aa8d0-073e-4f93-988d-68490e5d4ca9/accepted/C/C.1/vehicles[2];104,87
3;E;Motocicleta;1;;;;2;8;2015;1;;Vehículo No. 3: Motocicleta (2015);uuid:ea0aa8d0-073e-4f93-988d-68490e5d4ca9;uuid:ea0aa8d0-073e-4f93-988d-68490e5d4ca9/accepted/C/C.1/vehicles[3];104,87
4;E;Motocicleta;1;;;;2;8;2016;1;;Vehículo No. 4: Motocicleta (2016);uuid:ea0aa8d0-073e-4f93-988d-68490e5d4ca9;uuid:ea0aa8d0-073e-4f93-988d-68490e5d4ca9/accepted/C/C.1/vehicles[4];104,87
1;G;Triciclo - moto;1;;;;1;1;9999;1;;Vehículo No. 1: Triciclo - moto (9999);uuid:9c45b63f-d173-497d-8bbd-48dd7c9984d2;uuid:9c45b63f-d173-497d-8bbd-48dd7c9984d2/accepted/C/C.1/vehicles[1];1,86
1;E;Motocicleta;1;;;;2;8;9999;1;;Vehículo No. 1: Motocicleta (9999);uuid:23ce3b05-fba8-4452-ba6b-a9544b2923d6;uuid:23ce3b05-fba8-4452-ba6b-a9544b2923d6/accepted/C/C.1/vehicles[1];1,61
1;E;Motocicleta;1;;;;2;8;9999;1;;Vehículo No. 1: Motocicleta (9999);uuid:49c0d69c-7cee-405b-beae-68f6ce3bd5db;uuid:49c0d69c-7cee-405b-beae-68f6ce3bd5db/accepted/C/C.1/vehicles[1];1,64
